ID,Cohort,Age,Acert,Year,Capture,Exclude,Treatment,Mass,Leg,Teeth,Repro,Parturition,PYsex,PYid,SurvLPY,SurvWN,PYLastObs,PYFound,Dead,HRDead,CaptDay,AgeC,CohortStart,CohortDay,Cond,PCond,PMass,mGain,Eff,PEff,DaysObs,xMed,indVeg7,indDens7,indWin7,indVeg21,indDens21,indWin21,mLeg,mMass,mMGain,mCond,nFem,nka,nSA,nPrime,PropPrime,Ratio,PRatio
2,1992,16,4,2008,2008-07-27,0,0,28.5,515,6,1,2007-12-20,2,3,1,1,NA,NA,1,0,209,5,2007-08-01,142,1.42676943371988,NA,NA,NA,3,NA,NA,NA,NA,NA,28,NA,4.4565034013605445,65,511.56756756756755,27,0.7884615384615384,0.8873778813049912,37,24,13,7,0.2916666666666667,0.35135135135135137,NA
2,1992,17,4,2009,NA,0,0,NA,NA,NA,1,NA,NA,NA,1,2,NA,NA,1,0,NA,5,2008-08-01,NA,NA,1.42676943371988,28.5,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,517.1578947368421,27.81578947368421,0.19642857142857142,0.9702145694053551,39,29,20,8,0.27586206896551724,0.5128205128205128,0.35135135135135137
2,1992,18,4,2010,NA,0,0,NA,NA,NA,1,NA,NA,NA,1,0,2010-11-30,12-2010,1,0,NA,5,2009-08-01,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,518.3157894736842,28.364864864864863,1.1022222222222222,1.1844972561339728,60,40,19,16,0.4,0.31666666666666665,0.5128205128205128
2,1992,19,4,2011,NA,0,0,NA,NA,NA,1,NA,2,NA,1,2,NA,NA,1,0,NA,5,2010-08-01,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,524.3333333333334,26.64,-0.43333333333333335,0.13365327312573988,88,61,5,27,0.4426229508196721,0.056818181818181816,0.31666666666666665
3,2008,3,1,2011,NA,0,0,NA,NA,NA,1,NA,1,494,1,1,NA,NA,1,0,NA,3,2010-08-01,NA,NA,0.8042054152848006,28.5,NA,3,NA,21,38340,NA,NA,NA,NA,NA,NA,524.3333333333334,26.64,-0.43333333333333335,0.13365327312573988,88,61,5,27,0.4426229508196721,0.056818181818181816,0.31666666666666665
3,2008,4,1,2012,2012-09-09,0,0,23.25,502,4,0,NA,NA,NA,NA,NA,NA,NA,1,0,253,3,2011-08-01,NA,-0.3699499097445268,NA,NA,NA,0,3,78,38303,NA,NA,NA,NA,NA,NA,524.2631578947369,26.43936842105263,0.29627906976744184,0.012295458228310279,104,72,15,35,0.4861111111111111,0.14423076923076922,0.056818181818181816
3,2008,5,1,2013,2013-09-03,0,0,26,509,4,1,2013-01-27,2,619,1,0,2013-09-30,10-2013,1,0,246,3,2012-08-01,180,0.621521274225927,NA,NA,NA,2,0,45,38285,143.789607530539,4.324049180327869,44,285.2099946419761,4.292780303030303,60,525.6779661016949,25.732881355932204,-0.057121212121212114,-0.37004406803596296,127,92,1,60,0.6521739130434783,0.007874015748031496,0.14423076923076922
3,2008,6,1,2014,NA,0,0,NA,NA,NA,1,2014-02-01,1,727,1,0,2014-12-31,12-2014,1,0,NA,3,2013-08-01,185,NA,0.621521274225927,26,NA,2,2,48,38337,159.73489492592435,4.054405737704918,29,196.5818388951338,3.313403022670025,56,528.3135593220339,27.334745762711865,1.069767441860465,0.24242423199779278,137,94,6,65,0.6914893617021277,0.043795620437956206,0.007874015748031496
3,2008,7,1,2015,2015-10-22,0,0,28.5,528,4,1,2015-03-21,2,861,1,0,2015-12-31,03-2016,1,0,295,4,2014-08-01,233,0.8042054152848006,NA,NA,NA,2,2,68,38338.5,100.61899013718823,3.0416172839506173,43,275.5572153129214,2.5745012594458436,81,529.0603448275862,25.93695652173913,0.15357142857142858,-0.41865242001705805,137,97,2,65,0.6701030927835051,0.014598540145985401,0.043795620437956206
3,2008,8,1,2016,NA,0,0,NA,NA,NA,1,NA,NA,NA,1,2,NA,NA,1,0,NA,4,2015-08-01,NA,NA,0.9813193721742215,29.5,NA,2,2,64,38306,NA,NA,NA,NA,NA,NA,532.1192660550458,28.211009174311926,1.4320652173913044,0.44264359134786213,127,89,49,67,0.7528089887640449,0.3858267716535433,0.014598540145985401
3,2008,9,1,2017,2017-12-06,0,0,29.5,533,3,1,2017-02-09,2,1096,1,1,NA,NA,1,0,340,4,2016-08-01,193,0.9813193721742215,NA,NA,NA,3,2,63,38308,172.69165036354684,2.443204918032787,51,243.55744513457412,2.554146095717884,65,533.1730769230769,26.50721153846154,0.2363013698630137,-0.3535740463762205,131,87,23,55,0.632183908045977,0.17557251908396945,0.3858267716535433
3,2008,10,1,2018,2018-09-12,0,0,27.75,524,2,0,NA,NA,NA,NA,NA,NA,NA,1,0,255,NA,2017-08-01,NA,0.6751664721571159,-0.3699499097445268,23.25,4.5,0,3,46,38291,NA,NA,NA,NA,NA,NA,531.8,26.651234567901234,0.3769230769230769,-0.2334322330272324,108,67,24,41,0.6119402985074627,0.2222222222222222,0.17557251908396945
3,2008,11,1,2019,NA,0,0,NA,NA,NA,1,NA,NA,NA,1,2,NA,NA,1,0,NA,5,2018-08-01,NA,NA,NA,NA,NA,2,0,38,38303,NA,NA,NA,NA,NA,NA,526.8585858585859,26.0855,0.2431818181818182,-0.25464313554660745,115,76,39,25,0.32894736842105265,0.3391304347826087,0.2222222222222222
3,2008,12,1,2020,NA,0,NA,NA,NA,NA,1,NA,NA,NA,1,2,NA,NA,1,0,NA,5,2019-08-01,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,529.2368421052631,26.63157894736842,0.7916666666666666,-0.1076177945333582,108,73,33,39,0.5342465753424658,0.3055555555555556,0.3391304347826087
3,2008,13,1,2021,NA,0,NA,NA,NA,NA,1,NA,NA,NA,0,0,2021-03-31,08-2021,1,0,NA,5,2020-08-01,NA,NA,0.6751664721571159,27.75,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,527.4727272727273,26.436363636363637,0.6214285714285714,-0.11304735936777774,104,75,28,39,0.52,0.2692307692307692,0.3055555555555556
4,NA,NA,0,2008,2008-08-12,0,0,28,522,2,1,2008-04-21,2,5,2,2,NA,NA,NA,NA,225,NA,2007-08-01,265,0.8778978223932674,NA,NA,NA,1,NA,NA,NA,NA,NA,56,NA,4.734584382871537,59,511.56756756756755,27,0.7884615384615384,0.8873778813049912,37,24,13,7,0.2916666666666667,0.35135135135135137,NA
6,1996,12,4,2008,2008-08-12,0,0,31,530,4,1,2007-12-30,2,7,1,1,NA,NA,1,0,225,5,2007-08-01,152,1.7152945936993735,0.3079674907046567,30,1,3,NA,NA,NA,NA,NA,31,NA,4.464447368421053,67,511.56756756756755,27,0.7884615384615384,0.8873778813049912,37,24,13,7,0.2916666666666667,0.35135135135135137,NA
6,1996,13,4,2009,2009-08-23,0,0,30.5,541,4,1,2008-11-24,2,89,1,1,NA,NA,1,0,235,5,2008-08-01,116,1.0081745814071401,1.7152945936993735,31,-0.5,3,3,11,37479,NA,4.463592233009709,26,NA,5.591183879093199,77,517.1578947368421,27.81578947368421,0.19642857142857142,0.9702145694053551,39,29,20,8,0.27586206896551724,0.5128205128205128,0.35135135135135137
6,1996,14,4,2010,2010-07-25,0,0,31.5,547,2,1,2009-11-17,2,223,1,0,2011-07-31,07-2011,1,0,206,5,2009-08-01,109,1.1188225017194118,NA,NA,NA,2,3,55,37428,379.72285400325643,5.927622950819672,29,656.9944449930275,6.061624685138539,86,518.3157894736842,28.364864864864863,1.1022222222222222,1.1844972561339728,60,40,19,16,0.4,0.31666666666666665,0.5128205128205128
6,1996,15,4,2011,2011-09-21,0,0,30,552,2,1,2011-01-16,2,421,1,0,2012-07-31,08-2012,1,0,264,5,2010-08-01,169,0.3079674907046567,1.1188225017194118,31.5,-1.5,2,2,48,37446,380.0745643963175,6.58677868852459,45,609.7186960366097,5.021460957178841,79,524.3333333333334,26.64,-0.43333333333333335,0.13365327312573988,88,61,5,27,0.4426229508196721,0.056818181818181816,0.31666666666666665
6,1996,16,4,2012,2012-08-26,0,0,29.5,560,2,1,NA,NA,NA,0,0,2012-06-30,08-2012,1,0,239,5,2011-08-01,NA,-0.25268225691974744,NA,NA,NA,1,2,83,37404.5,NA,NA,NA,NA,NA,NA,524.2631578947369,26.43936842105263,0.29627906976744184,0.012295458228310279,104,72,15,35,0.4861111111111111,0.14423076923076922,0.056818181818181816
6,1996,17,4,2013,2013-08-10,0,0,29,552,2,1,NA,NA,NA,0,0,2013-07-31,08-2013,1,0,222,5,2012-08-01,NA,-0.09766822136870691,-0.25268225691974744,29.5,-0.5,1,1,46,37437,NA,NA,NA,NA,NA,NA,525.6779661016949,25.732881355932204,-0.057121212121212114,-0.37004406803596296,127,92,1,60,0.6521739130434783,0.007874015748031496,0.14423076923076922
6,1996,18,4,2014,2014-07-30,0,0,29,558,1,1,NA,NA,NA,0,0,2014-03-31,05-2014,1,0,211,5,2013-08-01,NA,-0.36784759751463597,-0.09766822136870691,29,0,1,1,60,37399,NA,NA,NA,NA,NA,NA,528.3135593220339,27.334745762711865,1.069767441860465,0.24242423199779278,137,94,6,65,0.6914893617021277,0.043795620437956206,0.007874015748031496
6,1996,19,4,2015,NA,0,0,NA,NA,NA,1,2015-01-25,1,810,0,0,2015-03-31,08-2015,1,0,NA,5,2014-08-01,178,NA,-0.36784759751463597,29,NA,1,1,NA,NA,109.68111802064075,3.306795081967213,40,268.4671855044603,2.6316070528967255,73,529.0603448275862,25.93695652173913,0.15357142857142858,-0.41865242001705805,137,97,2,65,0.6701030927835051,0.014598540145985401,0.043795620437956206
7,2008,3,1,2011,2011-08-28,0,0,23.5,495,6,1,2010-12-28,1,405,1,0,2012-06-30,07-2012,1,1,240,3,2010-08-01,150,0.10885364773864477,-0.8572826344089152,26.5,-3,2,NA,41,37487.5,363.79000695907285,6.659460905349794,47,639.226786790877,5.08943216080402,79,524.3333333333334,26.64,-0.43333333333333335,0.13365327312573988,88,61,5,27,0.4426229508196721,0.056818181818181816,0.31666666666666665
7,2008,4,1,2012,2012-09-30,0,0,27,517,4,1,2012-02-24,2,539,1,0,2012-11-30,11-2012,1,1,274,3,2011-08-01,208,0.6833491193214445,0.10885364773864477,23.5,3.5,2,2,77,37393.5,294.6804463825688,4.59705306122449,53,262.40951060433787,4.662891687657431,72,524.2631578947369,26.43936842105263,0.29627906976744184,0.012295458228310279,104,72,15,35,0.4861111111111111,0.14423076923076922,0.056818181818181816
7,2008,5,1,2013,2013-09-19,0,0,28.5,535,4,1,2012-11-22,2,628,1,0,2013-10-31,10-2013,1,1,262,3,2012-08-01,114,0.4754233343746556,0.6833491193214445,27,1.5,2,2,49,37376,156.46812963780462,4.5015081967213115,22,273.0640295127413,4.476949622166247,78,525.6779661016949,25.732881355932204,-0.057121212121212114,-0.37004406803596296,127,92,1,60,0.6521739130434783,0.007874015748031496,0.14423076923076922
7,2008,6,1,2014,2014-09-08,0,0,30.25,538,3,1,2013-12-11,2,724,1,0,2015-08-31,09-2015,1,1,251,3,2013-08-01,133,1.0485154665102734,0.4754233343746556,28.5,1.75,2,2,43,37375,153.5621631362568,4.461074074074074,27,224.81288532190092,3.3807027707808563,61,528.3135593220339,27.334745762711865,1.069767441860465,0.24242423199779278,137,94,6,65,0.6914893617021277,0.043795620437956206,0.007874015748031496
7,2008,7,1,2015,2015-09-05,0,0,26.5,545,3,0,NA,NA,NA,NA,NA,NA,NA,1,1,248,4,2014-08-01,NA,-0.8572826344089152,NA,NA,NA,0,2,86,37366,NA,NA,NA,NA,NA,NA,529.0603448275862,25.93695652173913,0.15357142857142858,-0.41865242001705805,137,97,2,65,0.6701030927835051,0.014598540145985401,0.043795620437956206
7,2008,8,1,2016,2016-11-23,0,0,32,541,2,1,2015-12-27,1,993,1,2,NA,NA,1,1,328,4,2015-08-01,149,1.5823797309749337,1.0485154665102734,30.25,1.75,2,0,55,37385,172.93082094941767,2.6143073770491805,40,271.450453473777,2.470367758186398,86,532.1192660550458,28.211009174311926,1.4320652173913044,0.44264359134786213,127,89,49,67,0.7528089887640449,0.3858267716535433,0.014598540145985401
8,NA,NA,0,2008,2008-08-13,0,0,21.5,484,4,0,NA,NA,NA,NA,NA,NA,NA,1,1,226,NA,2007-08-01,NA,-0.3945617568185035,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,511.56756756756755,27,0.7884615384615384,0.8873778813049912,37,24,13,7,0.2916666666666667,0.35135135135135137,NA
8,NA,NA,0,2009,2009-10-26,0,0,24.75,484,2,1,2009-04-30,1,161,1,1,NA,NA,1,1,299,NA,2008-08-01,273,1.2919339311175384,1.188575220086032,24.75,0,3,0,14,37111,NA,4.498565040650407,52,673.842806297755,5.868770780856424,76,517.1578947368421,27.81578947368421,0.19642857142857142,0.9702145694053551,39,29,20,8,0.27586206896551724,0.5128205128205128,0.35135135135135137
8,NA,NA,0,2010,2010-11-09,0,0,24.75,486,2,1,2010-03-04,2,299,1,0,2011-09-30,09-2011,1,1,313,NA,2009-08-01,216,1.188575220086032,0.0033487461944391498,23,1.75,2,3,58,37055.5,408.93714248735466,5.815666666666667,56,720.1427081989015,6.418325757575758,75,518.3157894736842,28.364864864864863,1.1022222222222222,1.1844972561339728,60,40,19,16,0.4,0.31666666666666665,0.5128205128205128
8,NA,NA,0,2011,2011-08-03,0,0,23,492,3,1,NA,NA,NA,0,0,2011-05-31,07-2011,1,1,215,NA,2010-08-01,NA,0.0033487461944391498,-0.3945617568185035,21.5,1.5,1,2,40,37040,NA,NA,NA,NA,NA,NA,524.3333333333334,26.64,-0.43333333333333335,0.13365327312573988,88,61,5,27,0.4426229508196721,0.056818181818181816,0.31666666666666665
8,NA,NA,0,2012,NA,0,0,NA,NA,NA,1,NA,NA,NA,2,2,NA,NA,1,1,NA,NA,2011-08-01,NA,NA,1.2919339311175384,24.75,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,524.2631578947369,26.43936842105263,0.29627906976744184,0.012295458228310279,104,72,15,35,0.4861111111111111,0.14423076923076922,0.056818181818181816
9,1994,14,4,2008,2008-08-13,0,0,26.5,534,2,0,NA,NA,NA,NA,NA,NA,NA,1,0,226,5,2007-08-01,NA,-0.34797073608496354,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,511.56756756756755,27,0.7884615384615384,0.8873778813049912,37,24,13,7,0.2916666666666667,0.35135135135135137,NA
9,1994,15,4,2009,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,0,NA,5,2008-08-01,NA,NA,-0.34797073608496354,26.5,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,517.1578947368421,27.81578947368421,0.19642857142857142,0.9702145694053551,39,29,20,8,0.27586206896551724,0.5128205128205128,0.35135135135135137
10,NA,NA,0,2008,2008-08-13,0,0,25.5,528,4,1,NA,NA,NA,0,0,NA,NA,1,0,226,NA,2007-08-01,NA,-0.525824975689005,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,511.56756756756755,27,0.7884615384615384,0.8873778813049912,37,24,13,7,0.2916666666666667,0.35135135135135137,NA
10,NA,NA,0,2009,NA,0,0,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,2008-08-01,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,517.1578947368421,27.81578947368421,0.19642857142857142,0.9702145694053551,39,29,20,8,0.27586206896551724,0.5128205128205128,0.35135135135135137
11,2005?,NA,0,2008,2008-08-13,0,0,20.5,462,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,226,NA,2007-08-01,NA,0.19895972166513223,NA,NA,NA,0,NA,11,37359,NA,NA,NA,NA,NA,NA,511.56756756756755,27,0.7884615384615384,0.8873778813049912,37,24,13,7,0.2916666666666667,0.35135135135135137,NA
12,NA,NA,0,2008,2008-08-13,0,0,27.5,512,4,1,2007-12-18,2,13,1,0,2008-08-31,10-2008,NA,NA,226,NA,2007-08-01,140,1.145566035910642,-0.12383372336018386,25.75,1.75,2,NA,NA,NA,NA,NA,26,NA,4.454849315068493,67,511.56756756756755,27,0.7884615384615384,0.8873778813049912,37,24,13,7,0.2916666666666667,0.35135135135135137,NA
12,NA,NA,0,2009,NA,0,0,NA,NA,NA,1,NA,1,NA,1,2,NA,NA,NA,NA,NA,NA,2008-08-01,NA,NA,1.2334930292597943,28.5,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,517.1578947368421,27.81578947368421,0.19642857142857142,0.9702145694053551,39,29,20,8,0.27586206896551724,0.5128205128205128,0.35135135135135137
12,NA,NA,0,2010,2010-08-14,0,0,28.5,519,1,1,2010-01-03,2,242,1,1,NA,NA,NA,NA,226,NA,2009-08-01,156,1.2334930292597943,1.145566035910642,27.5,1,3,2,41,37711,382.049787317873,6.106081967213115,35,692.4504020535485,6.140553030303031,80,518.3157894736842,28.364864864864863,1.1022222222222222,1.1844972561339728,60,40,19,16,0.4,0.31666666666666665,0.5128205128205128
12,NA,NA,0,2011,2011-07-03,0,0,25.75,522,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,184,NA,2010-08-01,NA,-0.12383372336018386,NA,NA,NA,0,3,NA,NA,NA,NA,NA,NA,NA,NA,524.3333333333334,26.64,-0.43333333333333335,0.13365327312573988,88,61,5,27,0.4426229508196721,0.056818181818181816,0.31666666666666665
17,NA,NA,0,2008,2008-08-14,0,0,30,516,2,0,NA,NA,NA,NA,NA,NA,NA,1,0,227,NA,2007-08-01,NA,1.9917282193104355,NA,NA,NA,0,NA,10,37408.5,NA,NA,NA,NA,NA,NA,511.56756756756755,27,0.7884615384615384,0.8873778813049912,37,24,13,7,0.2916666666666667,0.35135135135135137,NA
18,1993,15,4,2008,2008-08-15,0,0,29.5,531,2,1,2008-02-27,1,19,1,1,NA,NA,1,0,228,5,2007-08-01,211,1.0751575682810615,NA,NA,NA,3,NA,NA,NA,NA,NA,49,NA,4.501867403314917,64,511.56756756756755,27,0.7884615384615384,0.8873778813049912,37,24,13,7,0.2916666666666667,0.35135135135135137,NA
18,1993,16,4,2009,NA,0,0,NA,NA,NA,1,NA,NA,NA,0,0,2009-11-30,12-2009,1,0,NA,5,2008-08-01,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,517.1578947368421,27.81578947368421,0.19642857142857142,0.9702145694053551,39,29,20,8,0.27586206896551724,0.5128205128205128,0.35135135135135137
18,1993,17,4,2010,NA,0,0,NA,NA,NA,1,NA,NA,NA,0,0,2010-08-31,08-2010,1,0,NA,5,2009-08-01,NA,NA,NA,NA,NA,1,1,34,37736.5,NA,NA,NA,NA,NA,NA,518.3157894736842,28.364864864864863,1.1022222222222222,1.1844972561339728,60,40,19,16,0.4,0.31666666666666665,0.5128205128205128
18,1993,18,4,2011,2011-06-30,0,0,NA,NA,NA,1,2011-04-04,2,368,0,0,2011-06-30,10-2011,1,0,181,5,2010-08-01,247,NA,NA,NA,NA,1,1,NA,NA,442.76521140904566,6.4213658536585365,54,481.6206208953961,4.661248743718593,69,524.3333333333334,26.64,-0.43333333333333335,0.13365327312573988,88,61,5,27,0.4426229508196721,0.056818181818181816,0.31666666666666665
20,1993,15,4,2008,2008-08-16,0,0,27,529,4,0,NA,NA,NA,NA,NA,NA,NA,1,0,229,5,2007-08-01,NA,0.11043337527958488,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,511.56756756756755,27,0.7884615384615384,0.8873778813049912,37,24,13,7,0.2916666666666667,0.35135135135135137,NA
20,1993,16,4,2009,2009-08-22,0,0,27.25,533,4,1,2008-12-29,1,84,1,0,2010-01-31,02-2010,1,0,234,5,2008-08-01,151,0.03257745269044169,NA,NA,NA,2,0,11,37437,NA,4.4491286307053945,28,613.8148036326023,5.639362720403023,80,517.1578947368421,27.81578947368421,0.19642857142857142,0.9702145694053551,39,29,20,8,0.27586206896551724,0.5128205128205128,0.35135135135135137
20,1993,17,4,2010,2011-01-20,0,0,NA,NA,NA,1,2010-04-13,1,327,1,0,2011-03-31,07-2011,1,0,20,5,2009-08-01,256,NA,0.03257745269044169,27.25,NA,2,2,45,37400.5,412.25036437376986,5.567178861788618,59,733.1543162331683,6.352010075566751,74,518.3157894736842,28.364864864864863,1.1022222222222222,1.1844972561339728,60,40,19,16,0.4,0.31666666666666665,0.5128205128205128
20,1993,18,4,2011,2011-07-04,0,0,NA,533,NA,0,NA,NA,NA,NA,NA,NA,NA,1,0,185,5,2010-08-01,NA,NA,0.11043337527958488,27,NA,0,2,NA,NA,NA,NA,NA,NA,NA,NA,524.3333333333334,26.64,-0.43333333333333335,0.13365327312573988,88,61,5,27,0.4426229508196721,0.056818181818181816,0.31666666666666665
21,1994,14,4,2008,2008-08-16,0,0,29,523,6,1,NA,NA,NA,0,0,NA,NA,1,1,229,5,2007-08-01,NA,1.249732586586696,-2.305187226654586,23.75,5.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,511.56756756756755,27,0.7884615384615384,0.8873778813049912,37,24,13,7,0.2916666666666667,0.35135135135135137,NA
21,1994,15,4,2009,NA,0,0,NA,NA,NA,1,2008-11-20,2,180,1,1,NA,NA,1,1,NA,5,2008-08-01,112,NA,-0.07843782795964171,28.5,NA,3,1,10,37448,NA,4.465564356435643,26,NA,5.5778035264483625,74,517.1578947368421,27.81578947368421,0.19642857142857142,0.9702145694053551,39,29,20,8,0.27586206896551724,0.5128205128205128,0.35135135135135137
21,1994,16,4,2010,2010-10-19,0,0,32,536,2,1,2009-12-22,2,275,1,1,NA,NA,1,1,292,5,2009-08-01,144,1.8140342132830878,NA,NA,NA,3,3,48,37197,378.39885310315344,6.075851851851852,37,687.3052981400502,6.109392947103275,83,518.3157894736842,28.364864864864863,1.1022222222222222,1.1844972561339728,60,40,19,16,0.4,0.31666666666666665,0.5128205128205128
21,1994,17,4,2011,2011-08-25,0,0,28.5,539,2,1,NA,NA,NA,0,0,2011-05-31,07-2011,1,1,237,5,2010-08-01,NA,0.28946593189875347,1.249732586586696,29,-0.5,1,3,44,37027,NA,NA,NA,NA,NA,NA,524.3333333333334,26.64,-0.43333333333333335,0.13365327312573988,88,61,5,27,0.4426229508196721,0.056818181818181816,0.31666666666666665
21,1994,18,4,2012,2012-10-30,0,1,31.25,547,1,1,2012-02-23,1,547,1,2,NA,NA,1,1,304,5,2011-08-01,207,1.0235023203561742,1.8140342132830878,32,-0.75,2,1,67,37065,295.69628583233185,4.596191836734694,52,262.7221020854451,4.661267002518891,72,524.2631578947369,26.43936842105263,0.29627906976744184,0.012295458228310279,104,72,15,35,0.4861111111111111,0.14423076923076922,0.056818181818181816
21,1994,19,4,2013,2013-08-20,0,2,28.5,547,1,1,NA,NA,NA,0,0,2013-07-31,08-2013,1,1,232,5,2012-08-01,NA,-0.07843782795964171,0.28946593189875347,28.5,0,1,2,33,37179,NA,NA,NA,NA,NA,NA,525.6779661016949,25.732881355932204,-0.057121212121212114,-0.37004406803596296,127,92,1,60,0.6521739130434783,0.007874015748031496,0.14423076923076922
21,1994,20,4,2014,2014-08-26,0,0,28.75,547,1,0,NA,NA,NA,NA,NA,NA,NA,1,1,238,5,2013-08-01,NA,0.026039862054927452,NA,NA,NA,0,1,33,37056,NA,NA,NA,NA,NA,NA,528.3135593220339,27.334745762711865,1.069767441860465,0.24242423199779278,137,94,6,65,0.6914893617021277,0.043795620437956206,0.007874015748031496
21,1994,21,4,2015,2015-09-16,0,0,23.75,548,1,0,NA,NA,NA,NA,NA,NA,NA,1,1,259,5,2014-08-01,NA,-2.305187226654586,0.026039862054927452,28.75,-5,0,0,31,36968,NA,NA,NA,NA,NA,NA,529.0603448275862,25.93695652173913,0.15357142857142858,-0.41865242001705805,137,97,2,65,0.6701030927835051,0.014598540145985401,0.043795620437956206
23,1998,10,4,2008,2008-08-17,0,0,29,515,4,1,2007-12-24,2,24,1,1,NA,NA,1,0,230,NA,2007-08-01,146,1.6347646347796538,NA,NA,NA,3,NA,NA,NA,NA,NA,30,NA,4.459744966442953,64,511.56756756756755,27,0.7884615384615384,0.8873778813049912,37,24,13,7,0.2916666666666667,0.35135135135135137,NA
23,1998,11,4,2009,2009-10-28,0,0,29.5,513,2,1,2009-01-08,1,164,1,1,NA,NA,1,0,301,5,2008-08-01,161,1.936455315135521,1.6347646347796538,29,0.5,3,3,NA,NA,NA,4.442803278688524,30,618.3120811971872,5.644383838383838,76,517.1578947368421,27.81578947368421,0.19642857142857142,0.9702145694053551,39,29,20,8,0.27586206896551724,0.5128205128205128,0.35135135135135137
23,1998,12,4,2010,2010-10-26,0,0,30,527,1,1,2010-01-24,1,294,1,1,NA,NA,1,0,299,5,2009-08-01,177,1.4648937547843917,1.936455315135521,29.5,0.5,3,3,40,37538,392.91019170629534,6.055045081967213,43,705.8781893803115,6.240939393939394,77,518.3157894736842,28.364864864864863,1.1022222222222222,1.1844972561339728,60,40,19,16,0.4,0.31666666666666665,0.5128205128205128
23,1998,13,4,2011,2011-08-03,0,0,26.75,532,1,0,NA,NA,NA,NA,NA,NA,NA,1,0,215,5,2010-08-01,NA,-0.14199296599799915,NA,NA,NA,0,3,27,37213.5,NA,NA,NA,NA,NA,NA,524.3333333333334,26.64,-0.43333333333333335,0.13365327312573988,88,61,5,27,0.4426229508196721,0.056818181818181816,0.31666666666666665
23,1998,14,4,2012,NA,0,0,NA,NA,NA,1,NA,NA,NA,0,0,2012-06-30,08-2012,1,0,NA,5,2011-08-01,NA,NA,NA,NA,NA,1,0,37,37413,NA,NA,NA,NA,NA,NA,524.2631578947369,26.43936842105263,0.29627906976744184,0.012295458228310279,104,72,15,35,0.4861111111111111,0.14423076923076922,0.056818181818181816
23,1998,15,4,2013,NA,0,0,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,0,NA,5,2012-08-01,NA,NA,-0.14199296599799915,26.75,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,525.6779661016949,25.732881355932204,-0.057121212121212114,-0.37004406803596296,127,92,1,60,0.6521739130434783,0.007874015748031496,0.14423076923076922
25,1994,14,4,2008,2008-08-17,0,0,21.5,507,2,0,NA,NA,NA,NA,NA,NA,NA,1,0,230,5,2007-08-01,NA,-1.553475766305884,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,511.56756756756755,27,0.7884615384615384,0.8873778813049912,37,24,13,7,0.2916666666666667,0.35135135135135137,NA
25,1994,15,4,2009,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,0,NA,5,2008-08-01,NA,NA,-1.553475766305884,21.5,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,517.1578947368421,27.81578947368421,0.19642857142857142,0.9702145694053551,39,29,20,8,0.27586206896551724,0.5128205128205128,0.35135135135135137
26,1995,13,4,2008,2008-08-18,0,0,29,521,2,0,NA,NA,NA,NA,NA,NA,NA,1,0,231,5,2007-08-01,NA,1.3454114950304419,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,511.56756756756755,27,0.7884615384615384,0.8873778813049912,37,24,13,7,0.2916666666666667,0.35135135135135137,NA
26,1995,14,4,2009,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,0,NA,5,2008-08-01,NA,NA,1.3454114950304419,29,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,517.1578947368421,27.81578947368421,0.19642857142857142,0.9702145694053551,39,29,20,8,0.27586206896551724,0.5128205128205128,0.35135135135135137
